Episode,Baseline,Hybrid
1,25.0,11.0
2,10.0,23.0
3,34.0,12.0
4,37.0,13.0
5,12.0,61.0
6,29.0,11.0
7,12.0,10.0
8,9.0,14.0
9,18.0,14.0
10,16.0,18.0
11,26.0,11.0
12,38.0,24.0
13,48.0,37.0
14,15.0,20.0
15,27.0,15.0
16,32.0,38.0
17,21.0,28.0
18,36.0,18.0
19,33.0,39.0
20,16.0,19.0
21,37.0,52.0
22,99.0,19.0
23,35.0,16.0
24,38.0,33.0
25,41.0,19.0
26,30.0,17.0
27,38.0,18.0
28,32.0,26.0
29,54.0,10.0
30,35.0,17.0
31,76.0,49.0
32,30.0,82.0
33,24.0,13.0
34,48.0,22.0
35,28.0,43.0
36,36.0,30.0
37,34.0,64.0
38,41.0,43.0
39,38.0,33.0
40,93.0,33.0
41,42.0,36.0
42,55.0,21.0
43,22.0,16.0
44,59.0,23.0
45,55.0,27.0
46,64.0,17.0
47,13.0,16.0
48,37.0,23.0
49,75.0,43.0
50,29.0,10.0
51,20.0,20.0
52,66.0,24.0
53,73.0,31.0
54,105.0,26.0
55,23.0,32.0
56,309.0,81.0
57,165.0,14.0
58,209.0,43.0
59,148.0,20.0
60,64.0,51.0
61,31.0,14.0
62,249.0,17.0
63,28.0,18.0
64,144.0,41.0
65,46.0,26.0
66,171.0,12.0
67,56.0,23.0
68,89.0,14.0
69,24.0,64.0
70,68.0,12.0
71,100.0,13.0
72,28.0,17.0
73,128.0,20.0
74,85.0,21.0
75,112.0,25.0
76,115.0,13.0
77,139.0,13.0
78,103.0,54.0
79,89.0,33.0
80,157.0,57.0
81,174.0,44.0
82,94.0,47.0
83,175.0,36.0
84,122.0,11.0
85,118.0,55.0
86,128.0,48.0
87,49.0,11.0
88,21.0,25.0
89,110.0,23.0
90,327.0,15.0
91,253.0,31.0
92,122.0,15.0
93,169.0,16.0
94,134.0,38.0
95,177.0,15.0
96,129.0,14.0
97,318.0,49.0
98,289.0,12.0
99,124.0,17.0
100,121.0,38.0
101,383.0,13.0
102,283.0,45.0
103,181.0,18.0
104,377.0,12.0
105,500.0,27.0
106,108.0,34.0
107,353.0,26.0
108,442.0,20.0
109,500.0,37.0
110,311.0,17.0
111,333.0,10.0
112,358.0,35.0
113,123.0,12.0
114,187.0,20.0
115,144.0,20.0
116,198.0,14.0
117,115.0,29.0
118,177.0,16.0
119,180.0,35.0
120,189.0,47.0
121,98.0,20.0
122,168.0,12.0
123,119.0,30.0
124,104.0,30.0
125,89.0,44.0
126,153.0,11.0
127,178.0,35.0
128,72.0,8.0
129,113.0,25.0
130,137.0,35.0
131,129.0,23.0
132,292.0,28.0
133,209.0,16.0
134,204.0,26.0
135,87.0,14.0
136,169.0,37.0
137,67.0,53.0
138,76.0,14.0
139,110.0,19.0
140,214.0,42.0
141,104.0,17.0
142,136.0,32.0
143,82.0,33.0
144,127.0,11.0
145,105.0,14.0
146,79.0,16.0
147,91.0,9.0
148,128.0,39.0
149,149.0,9.0
150,319.0,17.0
151,104.0,55.0
152,177.0,37.0
153,274.0,24.0
154,62.0,73.0
155,255.0,19.0
156,318.0,119.0
157,321.0,16.0
158,307.0,10.0
159,377.0,27.0
160,358.0,28.0
161,286.0,122.0
162,500.0,89.0
163,500.0,39.0
164,336.0,24.0
165,144.0,16.0
166,284.0,42.0
167,160.0,17.0
168,287.0,38.0
169,460.0,11.0
170,186.0,23.0
171,233.0,21.0
172,156.0,34.0
173,355.0,23.0
174,135.0,10.0
175,255.0,15.0
176,121.0,17.0
177,319.0,17.0
178,119.0,15.0
179,164.0,16.0
180,343.0,16.0
181,143.0,22.0
182,173.0,20.0
183,130.0,32.0
184,238.0,12.0
185,279.0,60.0
186,172.0,14.0
187,146.0,11.0
188,355.0,43.0
189,318.0,16.0
190,167.0,33.0
191,364.0,15.0
192,249.0,12.0
193,369.0,47.0
194,500.0,95.0
195,292.0,34.0
196,495.0,17.0
197,436.0,76.0
198,282.0,11.0
199,492.0,14.0
200,500.0,40.0
201,500.0,13.0
202,460.0,8.0
203,500.0,30.0
204,493.0,25.0
205,500.0,16.0
206,500.0,25.0
207,500.0,40.0
208,500.0,13.0
209,500.0,26.0
210,500.0,23.0
211,500.0,22.0
212,500.0,14.0
213,500.0,58.0
214,500.0,45.0
215,500.0,32.0
216,500.0,29.0
217,500.0,24.0
218,352.0,37.0
219,500.0,15.0
220,500.0,23.0
221,500.0,39.0
222,500.0,13.0
223,442.0,61.0
224,500.0,32.0
225,500.0,14.0
226,500.0,17.0
227,500.0,48.0
228,71.0,22.0
229,500.0,9.0
230,500.0,36.0
231,272.0,47.0
232,500.0,30.0
233,500.0,15.0
234,500.0,40.0
235,500.0,11.0
236,500.0,29.0
237,500.0,16.0
238,347.0,64.0
239,500.0,44.0
240,500.0,36.0
241,22.0,24.0
242,500.0,20.0
243,451.0,46.0
244,374.0,19.0
245,440.0,27.0
246,328.0,18.0
247,19.0,19.0
248,20.0,10.0
249,466.0,18.0
250,500.0,14.0
251,417.0,12.0
252,16.0,15.0
253,298.0,18.0
254,112.0,12.0
255,500.0,39.0
256,500.0,11.0
257,461.0,21.0
258,426.0,9.0
259,500.0,39.0
260,172.0,13.0
261,500.0,47.0
262,500.0,26.0
263,500.0,20.0
264,500.0,45.0
265,500.0,33.0
266,500.0,13.0
267,500.0,16.0
268,500.0,22.0
269,500.0,24.0
270,500.0,12.0
271,500.0,18.0
272,500.0,12.0
273,500.0,42.0
274,500.0,31.0
275,500.0,32.0
276,500.0,10.0
277,500.0,26.0
278,500.0,24.0
279,500.0,33.0
280,500.0,12.0
281,441.0,78.0
282,500.0,33.0
283,375.0,18.0
284,250.0,11.0
285,188.0,33.0
286,250.0,27.0
287,240.0,80.0
288,291.0,105.0
289,251.0,50.0
290,196.0,12.0
291,500.0,96.0
292,500.0,27.0
293,500.0,97.0
294,500.0,82.0
295,500.0,71.0
296,500.0,129.0
